POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
SCHOOL #245 LEITH WALK ELEM SCH,1234 SHERWOOD AVENUE,BALTIMORE,MD,21239,3,43,4,27-020,
SCHOOL #245 LEITH WALK ELEM SCH,1235 SHERWOOD AVENUE,BALTIMORE,MD,21239,3,43,4,27-031,2
SCHOOL #246 ANNEX BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,8,28-014,1
SCHOOL #246 BEECHFIELD ELEM,300 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,7,25-001,
SCHOOL #246 BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,8,25-002,2
SCHOOL #248 SINCLAIR LANE ELEM,3879 SINCLAIR LN,BALTIMORE,MD,21213,3,45,13,26-018,
SCHOOL #248 SINCLAIR LANE ELEM,3880 SINCLAIR LN,BALTIMORE,MD,21213,3,45,13,26-033,2
SCHOOL #250 DR. BERNARD HARRIS SR ELEM,1400 N CAROLINE ST,BALTIMORE,MD,21213,7,45,12,08-006,1
SCHOOL #251 CALLAWAY ELEM,3701 FERNHILL AVE,BALTIMORE,MD,21215,7,41,6,15-003,1
SCHOOL #254 DR MARTIN L KING JR ELEM,3750 GREENSPRING AVE,BALTIMORE,MD,21211,7,40,6,15-023,1
SCHOOL #260 FREDERICK ELEM,2499 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,7,20-003,
SCHOOL #260 FREDERICK ELEM,2500 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,8,20-009,
SCHOOL #260 FREDERICK ELEM,2501 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,9,20-010,3
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 259,848 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-006,
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 260,849 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-007,
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 261,850 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-008,
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 262,851 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-010,4
SCHOOL #27 COMMODORE RODGERS ELEM,98 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-002,
SCHOOL #27 COMMODORE RODGERS ELEM,99 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-003,
SCHOOL #27 COMMODORE RODGERS ELEM,100 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-004,3
SCHOOL #28 SANDTOWN-WINCHESTER ACHIEV ACAD,701 GOLD ST,BALTIMORE,MD,21217,7,44A,7,15-019,1
SCHOOL #29 HENSON ELEM,1600 N PAYSON ST,BALTIMORE,MD,21217,7,40,7,15-017,1
SCHOOL #34 CHARLES CARROLL ELEM,1327 WASHINGTON BLVD,BALTIMORE,MD,21230,3,40,10,21-003,1
SCHOOL #346 CITY NEIGHBORS HAMILTON,5609 SEFTON  AVE - REAR,BALTIMORE,MD,21214,3,45,3,27-005,1
SCHOOL #37 HARFORD HGTS PRIMARY,1918 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-004,
SCHOOL #37 HARFORD HGTS PRIMARY,1919 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-005,2
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,4999 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-016,
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,5000 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-024,2
SCHOOL #375 BALTIMORE COLLEGIATE SCH FOR BOYS,2500 E NORTHERN PKWY,BALTIMORE,MD,21214,3,43,3,27-013,1
SCHOOL #39 DALLAS F. NICHOLAS SR ELEM,201 E 21ST ST,BALTIMORE,MD,21218,7,43,12,12-011,1
SCHOOL #4 STEUART HILL ELEM,28 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,19-002,
SCHOOL #4 STEUART HILL ELEM,29 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,19-003,
SCHOOL #4 STEUART HILL ELEM,30 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,20-002,3
SCHOOL #401 NORTHWESTERN SR HIGH,6898 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,02-706 ,
SCHOOL #401 NORTHWESTERN SR HIGH,6899 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,27-062 ,
SCHOOL #401 NORTHWESTERN SR HIGH,6900 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,27-066,3
SCHOOL #405  PATTERSON SR HIGH,100 KANE ST,BALTIMORE,MD,21224,2,46,1,26-004,1
SCHOOL #406 FOREST PARK SENIOR HIGH,3701 ELDORADO AVE,BALTIMORE,MD,21207,7,41,6,15-002,1
SCHOOL #407  WESTERN HIGH,4600 FALLS RD,BALTIMORE,MD,21209,3,41,6,27-043,1
SCHOOL #410 MERVO TECH HIGH,3499 HILLEN RD - ENTRANCE TIVOLY AVE,BALTIMORE,MD,21218,7,43,14,09-005,
SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD - ENTRANCE TIVOLY AVE,BALTIMORE,MD,21218,7,43,14,09-006,2
SCHOOL #414 PAUL DUNBAR HIGH SCH,1399 ORLEANS STREET - MAIN ENTRANCE,BALTIMORE,MD,21231,7,45,12,05-002,
SCHOOL #414 PAUL DUNBAR HIGH SCH,1400 ORLEANS STREET - MAIN ENTRANCE,BALTIMORE,MD,21231,7,45,12,07-001,2
SCHOOL #416 DIGITAL HARBOR HIGH,1100 COVINGTON ST,BALTIMORE,MD,21230,3,46,11,24-003,1
SCHOOL #422  NEW ERA SCHOOL,2700 SEAMON AVE,BALTIMORE,MD,21225,2,46,10,25-010,1
SCHOOL #44 MONTEBELLO ELEM,2040 E 32ND ST,BALTIMORE,MD,21218,7,43,14,09-007,1
SCHOOL #45 FEDERAL HILL ELEM,1040 WILLIAM ST,BALTIMORE,MD,21230,3,46,11,24-001,1
SCHOOL #450 FREDERICK DOUGLASS HIGH SCH,2301 GWYNNS FALLS PKWY,BALTIMORE,MD,21217,7,40,7,15-020,1
SCHOOL #454 CARVER VOC-TECH HIGH,2200 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,7,15-015,
SCHOOL #454 CARVER VOC-TECH HIGH,2201 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,7,15-016,2
SCHOOL #47 HAMPSTEAD HILL ELEM,499 S LINWOOD AVE,BALTIMORE,MD,21224,3,46,1,01-001,
SCHOOL #47 HAMPSTEAD HILL ELEM,500 S LINWOOD AVE,BALTIMORE,MD,21224,3,46,1,01-003,2
SCHOOL #5  LANGSTON HUGHES ELEM,5011 ARBUTUS AVE,BALTIMORE,MD,21215,7,41,6,27-055,1
SCHOOL #51 WAVERLY ELEM,3399 ELLERSLIE AVE-ENTRANCE 34TH ST,BALTIMORE,MD,21218,7,43,14,09-003,
SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-ENTRANCE 34TH ST,BALTIMORE,MD,21218,7,43,14,09-004,2
SCHOOL #53 BRENT ELEM,99 E 26TH ST,BALTIMORE,MD,21218,7,43,12,12-008,
SCHOOL #53 BRENT ELEM,100 E 26TH ST,BALTIMORE,MD,21218,7,43,12,12-010,2
SCHOOL #54 BARCLAY ELEM,2899 BARCLAY ST,BALTIMORE,MD,21218,7,43,14,12-006,
SCHOOL #54 BARCLAY ELEM,2900 BARCLAY ST,BALTIMORE,MD,21218,7,43,14,12-007,2
SCHOOL #55 HAMPDEN ELEM,3606 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-011,
SCHOOL #55 HAMPDEN ELEM,3607 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-012,
SCHOOL #55 HAMPDEN ELEM,3608 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-013,3
