,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24046 Baltimore City Precinct 22-001,,22-001,Adj,"2,022","2,026","1,869","1,316",392,1,149,0,11,71,86,"1,968"
2403,24046 Baltimore City Precinct 22-002,,22-002,Adj,"1,827","1,828","1,597","1,382",101,2,101,0,11,106,125,"1,628"
2403,24046 Baltimore City Precinct 23-001,,23-001,Adj,"1,758","1,759","1,562","1,399",98,2,48,1,14,95,102,"1,604"
2403,24046 Baltimore City Precinct 23-002,,23-002,Adj,"1,737","1,745","1,618",945,598,2,71,0,2,57,70,"1,517"
2403,24046 Baltimore City Precinct 23-003,,23-003,Adj,"2,709","2,714","2,472","2,183",175,5,99,1,9,108,134,"2,539"
2403,24046 Baltimore City Precinct 24-001,,24-001,Unadj,933,933,852,758,55,0,39,0,0,36,45,808
2403,24046 Baltimore City Precinct 24-002,,24-002,Unadj,"1,153","1,153","1,064",952,45,0,67,0,0,36,53,"1,054"
2403,24046 Baltimore City Precinct 24-003,,24-003,Unadj,"2,066","2,066","1,910","1,734",60,0,110,0,6,67,89,"1,910"
2403,24046 Baltimore City Precinct 24-004,,24-004,Adj,"3,080","3,082","2,749","2,538",109,2,95,0,5,155,178,"2,695"
2403,24046 Baltimore City Precinct 24-005,,24-005,Adj,"4,888","4,892","4,447","3,998",183,6,228,3,29,208,237,"4,299"
2407,24044 Baltimore City Precinct 25-001,,25-001,Adj,"4,053","4,097","3,813",448,"3,224",0,111,0,30,118,166,"3,150"
2407,24044 Baltimore City Precinct 25-002,,25-002,Adj,"2,842","2,870","2,711",151,"2,507",0,42,0,11,78,81,"2,183"
2403,24040 Baltimore City Precinct 25-003,,25-003,Adj,"2,905","2,918","2,546","1,727",710,10,89,1,9,154,218,"2,389"
2403,24040 Baltimore City Precinct 25-004,,25-004,Adj,"4,275","4,313","3,451","2,207","1,064",13,134,1,32,206,656,"3,385"
2402,24046 Baltimore City Precinct 25-005,,25-005,Adj,"4,983","5,024","2,738",612,"1,967",6,129,0,24,156,"2,130","3,520"
2402,24046 Baltimore City Precinct 25-006,,25-006,Adj,"1,439","1,464","1,320",52,"1,246",3,7,0,12,61,83,"1,010"
2402,24046 Baltimore City Precinct 25-007,,25-007,Adj,585,603,570,70,484,6,4,0,6,22,11,453
2402,24046 Baltimore City Precinct 25-008,,25-008,Adj,"4,014","4,076","3,754",137,"3,565",4,29,0,19,142,180,"2,744"
2402,24046 Baltimore City Precinct 25-009,,25-009,Adj,"1,673","1,709","1,643",11,"1,628",1,0,1,2,40,26,"1,067"
2402,24046 Baltimore City Precinct 25-010,,25-010,Adj,"1,833","1,868","1,714",65,"1,620",7,18,0,4,55,99,"1,408"
2402,24046 Baltimore City Precinct 25-011,,25-011,Adj,"1,514","1,533",776,429,256,12,73,1,5,41,716,"1,093"
2402,24046 Baltimore City Precinct 25-012,,25-012,Adj,"2,973","3,002","1,828",971,786,10,44,0,17,179,995,"2,085"
2402,24046 Baltimore City Precinct 25-013,,25-013,Adj,"1,552","1,576","1,116",587,485,4,28,0,12,99,361,"1,120"
2402,24046 Baltimore City Precinct 25-014,,25-014,Adj,"2,271","2,304","1,765",332,"1,404",9,10,0,10,112,427,"1,462"
2402,24046 Baltimore City Precinct 25-015,,25-015,Adj,"2,375","2,405","1,954",675,"1,244",1,24,0,10,133,318,"1,789"
2402,24046 Baltimore City Precinct 25-016,,25-016,Adj,"2,794","2,823","2,167","1,328",754,11,42,4,28,215,441,"2,133"
2407,24040 Baltimore City Precinct 25-017,,25-017,Adj,669,671,579,236,316,0,23,1,3,38,54,584
