t Dist/Prec & Polling Place,,Polling Place Address,DEM,REP,GRN,LIB,UNA,OTHERS,TOTAL
t Type : CONGRESSIONAL DISTRICT,,,,,,,,,
ESSIONAL DISTRICT 2,,,,,,,,,
,"AVE, BALTIMORE, MD",,,,,,,,
,21201,,,,,,,,
11005-CHASE HOUSE,"1027 CATHEDRAL ST,",1069,73,4,6,171,9,,1332
,"BALTIMORE, MD 21201",,,,,,,,
11006-ENOCH PRATT FREE LIBRARY,"400 CATHEDRAL ST,",1587,160,9,14,399,14,,2183
CENTRAL BRANCH,"BALTIMORE, MD 21201",,,,,,,,
11007-WAXTER CENTER,"1000 CATHEDRAL ST,",889,87,7,14,269,7,,1273
,"BALTIMORE, MD 21201",,,,,,,,
12002-1ST ENGLISH LUTHERAN CHURCH,"3807 N CHARLES ST,",161,49,2,2,29,1,,244
,"BALTIMORE, MD 21218",,,,,,,,
12003-THE GREENMOUNT SCHOOL,"501 W 30TH ST,",510,39,6,3,124,2,,684
,"BALTIMORE, MD 21211",,,,,,,,
12004-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",988,91,11,10,314,3,,1417
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,
12005-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",786,47,17,8,175,3,,1036
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,
12006-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",536,43,13,6,154,6,,758
,"BALTIMORE, MD 21218",,,,,,,,
12007-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",1087,46,15,4,150,2,,1304
,"BALTIMORE, MD 21218",,,,,,,,
